,AreaName,District,PinCode,Longitude,Latitude,Cluster,1st most common venue,2nd most common venue,3rd most common venue,4th most common venue,5th most common venue
480,Sector 15A,Central District,110054,77.223558,28.675372,3,Indian Restaurant,Hotel,Light Rail Station,Chinese Restaurant,Café
481,Panchsheel Park,South District,110017,77.21507599999998,28.543272,3,Indian Restaurant,Hotel,Lounge,Garden,Bank
482,Ghitorni Village South Delhi,New Delhi District,110030,77.145379,28.492572,3,Indian Restaurant,Hotel,Sporting Goods Shop,Furniture / Home Store,Sandwich Place
483,Kota House Entrance,New Delhi District,110011,77.225119,28.606087,3,Indian Restaurant,Hotel Bar,Japanese Restaurant,Restaurant,Snack Place
484,Fateh Nagar,West District,110018,77.101612,28.63085999999999,3,Indian Restaurant,Indian Sweet Shop,Punjabi Restaurant,Fried Chicken Joint,Food Court
485,Mahaveer Nagar Kotla Mubarakpur,South East Delhi District,110003,77.22603400000001,28.575093,3,Indian Restaurant,Italian Restaurant,Bakery,Café,Restaurant
486,Shreshtha Vihar,Shahdara District,110092,77.318579,28.658515000000005,3,Indian Restaurant,Italian Restaurant,Café,Event Space,Food Truck
487,Dilshad Garden,Shahdara District,110095,77.319274,28.682157,3,Indian Restaurant,Juice Bar,Market,Gym,Café
488,Dwarka Sector3,New Delhi District,110001,77.207186,28.636281999999998,3,Indian Restaurant,Light Rail Station,Fabric Shop,Fast Food Restaurant,Snack Place
489,Rama Park,West District,110059,77.034906,28.621244,3,Indian Restaurant,Light Rail Station,Fast Food Restaurant,Mobile Phone Shop,Pizza Place
490,Rama Park Block B,West District,110059,77.034595,28.622718,3,Indian Restaurant,Light Rail Station,Mobile Phone Shop,Pizza Place,Hotel
491,Hauz Khas,South District,110016,77.207748,28.549647999999998,3,Indian Restaurant,Other Nightlife,Market,Karaoke Bar,Burger Joint
492,I P Extension Patparganj,East District,110091,77.291734,28.612117,3,Indian Restaurant,Pharmacy,Department Store,Juice Bar,Event Space
493,Jasola,South East Delhi District,110025,77.29805899999998,28.54253599999999,3,Indian Restaurant,Pizza Place,Soccer Stadium,Market,Bakery
494,Munirka,New Delhi District,110067,77.174918,28.553441,3,Indian Restaurant,Playground,Furniture / Home Store,Flea Market,Entertainment Service
495,Munirka Flyover,New Delhi District,110067,77.174918,28.553441,3,Indian Restaurant,Playground,Furniture / Home Store,Flea Market,Entertainment Service
496,Munirka Kunj Main Road,New Delhi District,110067,77.174918,28.553441,3,Indian Restaurant,Playground,Furniture / Home Store,Flea Market,Entertainment Service
497,Munirka Marg,New Delhi District,110067,77.174918,28.553441,3,Indian Restaurant,Playground,Furniture / Home Store,Flea Market,Entertainment Service
498,Munirka Vihar,New Delhi District,110067,77.174918,28.553441,3,Indian Restaurant,Playground,Furniture / Home Store,Flea Market,Entertainment Service
499,Dwarka Sector 12 Pocket 4,South West District,110078,77.043795,28.595862000000004,3,Indian Restaurant,Restaurant,Farmers Market,Market,Shopping Mall
500,Khirki Extension,South District,110017,77.217764,28.532780999999996,3,Indian Restaurant,Shopping Mall,Burger Joint,Clothing Store,Chinese Restaurant
501,Nirman Vihar,East District,110092,77.287782,28.635381999999996,3,Indian Restaurant,Shopping Mall,Light Rail Station,Pizza Place,Café
502,Sarojini Nagar,South District,110023,77.19575699999999,28.57568800000001,3,Indian Restaurant,Shopping Mall,Women's Store,Market,Pizza Place
503,Safdarjung,South District,110029,77.194877,28.565740999999996,3,Indian Restaurant,Snack Place,Department Store,Nightclub,Fast Food Restaurant
504,Safdarjung Enclave,South District,110029,77.194877,28.565740999999996,3,Indian Restaurant,Snack Place,Department Store,Nightclub,Fast Food Restaurant
505,Chandni Chowk,Central District,110006,77.23364500000001,28.65515900000001,3,Indian Restaurant,Snack Place,Market,Dessert Shop,Hotel
506,Duggal Colony,South District,110062,77.230325,28.510371,3,Indian Restaurant,Trail,Chinese Restaurant,Electronics Store,Event Space
507,Sarai Rohilla,Central District,110005,77.182898,28.66302,3,Indian Restaurant,Train Station,Fast Food Restaurant,Business Service,Event Space
508,Karampura,West District,110015,77.147423,28.664786,3,Indian Restaurant,Vegetarian / Vegan Restaurant,Moving Target,Italian Restaurant,Fabric Shop
509,Karampura West,West District,110015,77.147423,28.664786,3,Indian Restaurant,Vegetarian / Vegan Restaurant,Moving Target,Italian Restaurant,Fabric Shop
510,Kailash Hills,South East Delhi District,110065,77.24676899999999,28.554787,3,Indie Movie Theater,Hot Dog Joint,Coffee Shop,Fast Food Restaurant,Bar
511,Defence Colony,South East Delhi District,110024,77.23279499999997,28.573199,3,Italian Restaurant,Indian Restaurant,Bakery,Light Rail Station,Coffee Shop
512,Defence Colony Flyover,South East Delhi District,110024,77.23279499999997,28.573199,3,Italian Restaurant,Indian Restaurant,Bakery,Light Rail Station,Coffee Shop
513,Yamuna Road,Central District,110006,77.227706,28.671820000000004,3,Light Rail Station,Fast Food Restaurant,Lake,Hotel,Pizza Place
514,Gurudwara Road,South East Delhi District,110019,77.252121,28.540583,3,Market,Indian Restaurant,Coffee Shop,Fish Market,Ice Cream Shop
515,Cr Park Main Road,South East Delhi District,110019,77.247948,28.541606,3,Market,Indian Restaurant,Dim Sum Restaurant,Fast Food Restaurant,Fabric Shop
516,Chittaranjan Park,South East Delhi District,110019,77.24829899999999,28.538074999999996,3,Market,Pizza Place,Park,Coffee Shop,Café
517,Sector 7,South District,110017,77.227821,28.530248,3,Men's Store,Fast Food Restaurant,Yoga Studio,Fried Chicken Joint,Football Stadium
518,Meenakshi Garden,West District,110018,77.10362200000003,28.639439000000007,3,Multiplex,Coffee Shop,Fast Food Restaurant,Shopping Mall,Donut Shop
519,Sector B,South District,110070,77.164599,28.522471,3,Nightclub,Bed & Breakfast,Arcade,Café,Yoga Studio
520,Sector-B Vasant Kunj,South District,110070,77.164599,28.522471,3,Nightclub,Bed & Breakfast,Arcade,Café,Yoga Studio
521,Sectorb Vasant Kunj,South District,110070,77.164599,28.522471,3,Nightclub,Bed & Breakfast,Arcade,Café,Yoga Studio
522,Kapas Hera Estate,New Delhi District,110021,77.19813699999999,28.594804000000007,3,Nightclub,Indian Restaurant,Hotel,Smoke Shop,Bus Station
523,Kapas Hera Extension,New Delhi District,110021,77.19813699999999,28.594804000000007,3,Nightclub,Indian Restaurant,Hotel,Smoke Shop,Bus Station
524,Patel Nagar,West District,110008,77.163834,28.652637,3,Park,Gym / Fitness Center,Indian Restaurant,Sporting Goods Shop,Hotel
525,South Patel Nagar,West District,110008,77.163834,28.652637,3,Park,Gym / Fitness Center,Indian Restaurant,Sporting Goods Shop,Hotel
526,Raja Puri,North District,110009,77.183525,28.709453000000003,3,Park,Indian Restaurant,Chinese Restaurant,Bus Station,Event Space
527,Lodhi Road Quarters,South East Delhi District,110003,77.22837600000001,28.587623000000004,3,Performing Arts Venue,Theater,Pedestrian Plaza,Flea Market,Restaurant
528,Swasthya Vihar,East District,110092,77.28942099999999,28.640829000000004,3,Pizza Place,Arcade,Food Court,Gift Shop,Café
529,Sector 6,New Delhi District,110021,77.167392,28.579063,3,Pizza Place,BBQ Joint,Café,French Restaurant,Food Truck
530,Pocket 9 Sector C,South District,110070,77.143912,28.539503000000003,3,Pizza Place,BBQ Joint,Gastropub,Spa,Café
531,Geeta Colony,Shahdara District,110031,77.275947,28.652544,3,Pizza Place,Bakery,Fried Chicken Joint,Football Stadium,Food Truck
532,Shalimar Bagh,North District,110088,77.166944,28.708724,3,Pizza Place,Bakery,Indian Restaurant,Hotel Bar,Football Stadium
533,Krishan Kunj,North East District,110053,77.278916,28.700958,3,Pizza Place,Bank,Fried Chicken Joint,Football Stadium,Food Truck
534,Panchsheel Vihar,South District,110017,77.222077,28.534382999999995,3,Pizza Place,Burger Joint,Burmese Restaurant,Men's Store,Grocery Store
535,Sector 12 Dwarka Pocket 2,South West District,110078,77.04788099999999,28.595479000000008,3,Pizza Place,Café,Bank,Indian Restaurant,Cocktail Bar
536,Shanti Niketan,New Delhi District,110021,77.168906,28.576494000000004,3,Pizza Place,Café,Convenience Store,Gourmet Shop,Bakery
537,Sector 12 Dwarka Pocket 3,South West District,110078,77.04682000000001,28.595862000000007,3,Pizza Place,Café,Department Store,Indian Restaurant,Fast Food Restaurant
538,Ranjeet Nagar,West District,110008,77.169485,28.64345,3,Pizza Place,Café,Donut Shop,Coffee Shop,Metro Station
539,Ip Extension,East District,110092,77.302631,28.629336999999996,3,Pizza Place,Café,Hotel,Dessert Shop,Food
540,Link Road Ip Extension,East District,110092,77.302631,28.629336999999996,3,Pizza Place,Café,Hotel,Dessert Shop,Food
541,Anand Niketan,New Delhi District,110021,77.164595,28.579845,3,Pizza Place,Café,Hotel,University,Food Truck
542,Sheikh Sarai,South District,110017,77.221134,28.536347000000003,3,Pizza Place,Café,Indian Restaurant,Park,Burger Joint
543,Sheikh Sarai Inner Lane,South District,110017,77.221134,28.536347000000003,3,Pizza Place,Café,Indian Restaurant,Park,Burger Joint
544,Saraswati Vihar,North West District,110034,77.12461,28.696815000000004,3,Pizza Place,Café,Park,Bakery,Lake
545,4 Sector 4 Road,New Delhi District,110021,77.170562,28.578168,3,Pizza Place,Coffee Shop,Multiplex,South Indian Restaurant,Department Store
546,Saket,South District,110017,77.206773,28.52384799999999,3,Pizza Place,Convenience Store,Hotel,Lounge,Café
547,Sfs Flats Saket,South District,110017,77.206773,28.52384799999999,3,Pizza Place,Convenience Store,Hotel,Lounge,Café
548,New Pragatesheel Apartment,East District,110096,77.320745,28.600928,3,Pizza Place,Convenience Store,Market,Stadium,Event Space
549,Vasundhara Enclave,East District,110096,77.321231,28.60126,3,Pizza Place,Convenience Store,Market,Stadium,Event Space
550,Mayur Vihar I,East District,110091,77.294371,28.598894,3,Pizza Place,Department Store,Market,Shopping Mall,Deli / Bodega
551,Mayur Vihar Phase 1,East District,110091,77.294371,28.598894,3,Pizza Place,Department Store,Market,Shopping Mall,Deli / Bodega
552,Masoodpur,New Delhi District,110070,77.154162,28.526909999999997,3,Pizza Place,Dessert Shop,Fast Food Restaurant,Spa,Café
553,East Patel Nagar,West District,110005,77.17400099999999,28.647715,3,Pizza Place,Donut Shop,Chinese Restaurant,Gym,Coffee Shop
554,Kapashera,New Delhi District,110097,77.076869,28.527669,3,Pizza Place,Entertainment Service,Food Truck,Food Court,Food & Drink Shop
555,Krishna Nagar,Shahdara District,110051,77.283538,28.65846,3,Pizza Place,Fast Food Restaurant,Gym,French Restaurant,Food Truck
556,New Krishna Nagar,Shahdara District,110051,77.283538,28.65846,3,Pizza Place,Fast Food Restaurant,Gym,French Restaurant,Food Truck
557,Kg 2 Road,West District,110018,77.078407,28.635922,3,Pizza Place,Fast Food Restaurant,Ice Cream Shop,Food Truck,Women's Store
558,Sector 10,North District,110085,77.114447,28.725049000000002,3,Pizza Place,Fast Food Restaurant,Shopping Mall,Asian Restaurant,Theme Park
559,6 Sector 13 Main Road,North District,110085,77.130988,28.716626,3,Pizza Place,Food,Shopping Mall,Café,Dessert Shop
560,Malka Ganj,Central District,110007,77.205485,28.675838,3,Pizza Place,Grocery Store,Flea Market,Sandwich Place,Indian Restaurant
561,Ashirwad,West District,110059,77.058429,28.622128,3,Pizza Place,Health & Beauty Service,Train Station,Astrologer,Mobile Phone Shop
562,Sector 22 Dwarka,New Delhi District,110077,77.059501,28.560631,3,Pizza Place,Hotel,Café,Shopping Mall,Department Store
563,Shastri Nagar,Central District,110052,77.179699,28.673383,3,Pizza Place,Hotel,Light Rail Station,Shopping Mall,Deli / Bodega
564,Sector-8 Rohini,North West District,110085,77.124575,28.703194999999997,3,Pizza Place,Indian Restaurant,Burger Joint,Fast Food Restaurant,Chinese Restaurant
565,Nawada Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
566,Param Puri,West District,110059,77.054646,28.618947999999996,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
567,Rajapuri East Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
568,Residential Flat Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
569,Residential Floor Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
570,Residential House Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
571,Uttam Nagar,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
572,Uttam Nagar Nanhey Park,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
573,Uttam Nagar West,West District,110059,77.056782,28.618535000000005,3,Pizza Place,Indian Restaurant,Mobile Phone Shop,Astrologer,Train Station
574,Kotla Mubarakpur,South East Delhi District,110003,77.223323,28.573136,3,Pizza Place,Indian Restaurant,Shoe Store,Coffee Shop,Entertainment Service
575,Masjid Moth,South East Delhi District,110048,77.234227,28.541008,3,Pizza Place,Italian Restaurant,Coffee Shop,Café,Event Space
576,Masjid Moth Phase 2,South East Delhi District,110048,77.233534,28.540533,3,Pizza Place,Italian Restaurant,Coffee Shop,Café,Event Space
577,Dwarka Sec 23,South West District,110077,77.055135,28.566949,3,Pizza Place,Italian Restaurant,Farmers Market,Shopping Mall,Department Store
578,Dwarka Mor,South West District,110059,77.031514,28.618973,3,Pizza Place,Light Rail Station,Fast Food Restaurant,Indian Restaurant,Hotel
579,Dwarka More,South West District,110059,77.031514,28.618973,3,Pizza Place,Light Rail Station,Fast Food Restaurant,Indian Restaurant,Hotel
580,Sector 11,North West District,110085,77.109005,28.73339,3,Pizza Place,Multiplex,Photography Studio,Deli / Bodega,Fabric Shop
581,Sector 11 Rohini,North West District,110085,77.109005,28.73339,3,Pizza Place,Multiplex,Photography Studio,Deli / Bodega,Fabric Shop
582,Dwarka Sec3,New Delhi District,110077,77.055066,28.56448,3,Pizza Place,Park,Bed & Breakfast,Shopping Mall,Dessert Shop
583,Dwarka Sector 23 Pocket 1,New Delhi District,110077,77.055066,28.56448,3,Pizza Place,Park,Bed & Breakfast,Shopping Mall,Dessert Shop
584,Sector 23 Dwarka,New Delhi District,110077,77.055066,28.56448,3,Pizza Place,Park,Bed & Breakfast,Shopping Mall,Dessert Shop
585,Derawal Nagar,North District,110009,77.190193,28.699642,3,Pizza Place,Snack Place,Bakery,Shopping Mall,Event Space
586,Jangpura Extension,South East Delhi District,110014,77.24240299999998,28.581218999999994,3,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Indian Restaurant,Hotel
587,Budh Nagar,New Delhi District,110012,77.142724,28.635105,3,Sandwich Place,Multiplex,Arcade,Fast Food Restaurant,Yoga Studio
588,Delhi Cantt,New Delhi District,110010,77.13247,28.596475,3,Shopping Mall,Café,Indian Restaurant,Coffee Shop,Food Truck
589,Experion Heartsong,New Delhi District,110010,77.13247,28.596475,3,Shopping Mall,Café,Indian Restaurant,Coffee Shop,Food Truck
590,Ferozshah Road,New Delhi District,110010,77.132191,28.597113,3,Shopping Mall,Café,Indian Restaurant,Coffee Shop,Food Truck
591,Nathupur Road,New Delhi District,110010,77.132191,28.597113,3,Shopping Mall,Café,Indian Restaurant,Coffee Shop,Food Truck
592,Sirifort Road,New Delhi District,110010,77.132191,28.597113,3,Shopping Mall,Café,Indian Restaurant,Coffee Shop,Food Truck
593,Netaji Subhash Place,North West District,110034,77.14947699999999,28.692377000000008,3,Shopping Mall,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Pizza Place
594,Desh Bandhu Gupta Marg,Central District,110005,77.194249,28.652156999999995,3,Snack Place,Indian Restaurant,Food & Drink Shop,Asian Restaurant,Coffee Shop
595,Okhla Vihar,South East Delhi District,110025,77.290006,28.554818,3,Tea Room,Café,Bengali Restaurant,Gym,Food Truck
596,Gulmohar Park,South District,110049,77.213521,28.556303000000007,3,Theater,Indian Restaurant,Music Venue,Park,Spanish Restaurant
597,Neb Sarai,South District,110062,77.198864,28.505609000000003,3,Tour Provider,Fast Food Restaurant,Lounge,Yoga Studio,Event Space
598,Mayur Vihar Phase 2,East District,110091,77.29783399999998,28.618247,3,Wings Joint,Garden,Sandwich Place,Café,Bank
599,Shivaji Marg,West District,110015,77.152738,28.662335,3,Women's Store,Café,Indian Restaurant,Train Station,Football Stadium
600,E Block Preet Vihar,East District,110092,77.29774299999998,28.638923000000002,3,Yoga Studio,BBQ Joint,Light Rail Station,Fast Food Restaurant,Shop & Service
601,Pocket 7 Sector D,South District,110070,77.146218,28.529379,4,Art Gallery,Hotel,Soccer Stadium,Bed & Breakfast,Yoga Studio
602,Sector 21 Dwarka,New Delhi District,110077,77.067198,28.55764,4,Café,Hotel,Coffee Shop,Bar,Yoga Studio
603,Sector 21 Dwarka New Delhi,New Delhi District,110077,77.067198,28.55764,4,Café,Hotel,Coffee Shop,Bar,Yoga Studio
604,Surajmal Vihar,Shahdara District,110092,77.305985,28.661599000000002,4,Café,Hotel,Park,Multiplex,Bar
605,Dda Flats,New Delhi District,110058,77.107619,28.606942,4,Coffee Shop,Yoga Studio,Event Space,Football Stadium,Food Truck
606,New Ashok Nagar,East District,110096,77.30742,28.594022,4,Coffee Shop,Yoga Studio,Event Space,Football Stadium,Food Truck
607,Sagarpur Palam Road,New Delhi District,110046,77.107483,28.604898,4,Coffee Shop,Yoga Studio,Event Space,Football Stadium,Food Truck
608,Gazipur,East District,110096,77.318143,28.633403,4,Department Store,Hotel,Yoga Studio,Event Space,Football Stadium
609,Mansarovar Garden,West District,110015,77.133346,28.642099,4,Furniture / Home Store,Hotel,Yoga Studio,Event Space,Food Truck
610,Mansarover Garden,West District,110015,77.133346,28.642099,4,Furniture / Home Store,Hotel,Yoga Studio,Event Space,Food Truck
611,Block Ld Dakshini Pitampura,North West District,110034,77.120353,28.69176,4,Hotel,Bar,Yoga Studio,Fabric Shop,Football Stadium
612,Cd Block Dakshini Pitampura,North West District,110034,77.120353,28.69176,4,Hotel,Bar,Yoga Studio,Fabric Shop,Football Stadium
613,Pitampura,North West District,110034,77.120353,28.69176,4,Hotel,Bar,Yoga Studio,Fabric Shop,Football Stadium
614,Poorvi Pitampura,North West District,110034,77.120353,28.69176,4,Hotel,Bar,Yoga Studio,Fabric Shop,Football Stadium
615,Uttari Pitampura,North West District,110034,77.120353,28.69176,4,Hotel,Bar,Yoga Studio,Fabric Shop,Football Stadium
616,Jor Bagh,South East Delhi District,110003,77.21383000000002,28.588308,4,Hotel,Bookstore,Racetrack,Historic Site,Metro Station
617,Maharani Bagh,South East Delhi District,110065,77.26529600000002,28.573232999999995,4,Hotel,Café,Sculpture Garden,Neighborhood,Gym
618,Sultanpur Extension,South District,110030,77.164988,28.496868,4,Hotel,Coffee Shop,Farm,Luggage Store,Yoga Studio
619,Block Ap Poorvi Pitampura,North West District,110034,77.140724,28.703266,4,Hotel,Coffee Shop,Spa,Bakery,Yoga Studio
620,Sector 10 Dwarka,South West District,110075,77.057824,28.583059999999993,4,Hotel,Electronics Store,Asian Restaurant,Light Rail Station,Shopping Mall
621,New Kondli,East District,110096,77.330756,28.606115,4,Hotel,Food,Market,Yoga Studio,Event Space
622,D B Gupta Road,Shahdara District,110032,77.301846,28.665973000000005,4,Hotel,Indian Restaurant,Asian Restaurant,BBQ Joint,Café
623,Mahipalpur,New Delhi District,110037,77.129485,28.545272000000004,4,Hotel,Indian Restaurant,Bed & Breakfast,Road,Business Service
624,Mahipalpur Extension,New Delhi District,110037,77.129485,28.545272000000004,4,Hotel,Indian Restaurant,Bed & Breakfast,Road,Business Service
625,Aerocity,New Delhi District,110037,77.121662,28.552015999999988,4,Hotel,Indian Restaurant,Coffee Shop,Buffet,Shopping Mall
626,A1 Block Paschim Vihar Delhi,West District,110063,77.093265,28.669306,4,Hotel,Indian Restaurant,Food Truck,Coffee Shop,Event Space
627,Paschim Vihar,West District,110063,77.093265,28.669306,4,Hotel,Indian Restaurant,Food Truck,Coffee Shop,Event Space
628,Paschim Vihar Main,West District,110063,77.093265,28.669306,4,Hotel,Indian Restaurant,Food Truck,Coffee Shop,Event Space
629,Westend,West District,110087,77.092747,28.671355999999996,4,Hotel,Indian Restaurant,Food Truck,Coffee Shop,Event Space
630,Dcm School Marg,West District,110008,77.164196,28.649656,4,Hotel,Indian Restaurant,Park,Electronics Store,Event Space
631,D Block Lane,New Delhi District,110028,77.139963,28.627061000000005,4,Hotel,Pizza Place,Café,Indian Restaurant,Hotel Bar
632,Dwarka Sector 19,South West District,110075,77.053127,28.576972000000005,4,Hotel,Shopping Mall,Electronics Store,Asian Restaurant,Flea Market
633,Sector 19,South West District,110075,77.052768,28.577133,4,Hotel,Shopping Mall,Electronics Store,Asian Restaurant,Flea Market
634,Sector 19 Dwarka,South West District,110075,77.053127,28.576972000000005,4,Hotel,Shopping Mall,Electronics Store,Asian Restaurant,Flea Market
635,Dwarka Road,South West District,110077,77.042551,28.559388,4,Hotel,Yoga Studio,Event Space,Football Stadium,Food Truck
636,Road Number 1,South District,110030,77.128902,28.479352,4,Hotel,Yoga Studio,Furniture / Home Store,Light Rail Station,Event Space
637,Block Uu Uttari Pitampura,North West District,110034,77.13941,28.705857,4,Indian Restaurant,Hotel,Coffee Shop,Spa,Event Space
638,Dwarka Flyover,South West District,110075,77.079503,28.592907,4,Indian Restaurant,Hotel,Science Museum,Farm,Entertainment Service
639,Sandesh Vihar,North West District,110034,77.141998,28.691363,4,Plaza,Hotel,Yoga Studio,Entertainment Service,Food Truck
